text,audio_url
"Neural network based end-to-end text to speech has significantly improved the quality of synthesized speech.",https://xilaili.github.io/wavs/0000/audio_000.wav
"While prior work has shown that scaling neural models in the number of parameters and the size of the data they are trained on gives improved results, we show that other ingredients are important for a high-performing chatbot.",https://xilaili.github.io/wavs/0000/audio_001.wav
"We consider three types of architectures in this work: retrieval, generative, and retrieve-and-refine models.",https://xilaili.github.io/wavs/0000/audio_002.wav
"We can also use the same mechanism to first retrieve from a large knowledge base, instead of retrieving an initial dialogue utterance. We can then condition the generation on the retrieved knowledge, as done in models proposed for the Wizard of Wikipedia task.",https://xilaili.github.io/wavs/0000/audio_003.wav
"Two widely used deterministic decoding approaches are greedy search and beam search.",https://xilaili.github.io/wavs/0000/audio_004.wav
"Both our two point seven billion and nine point four billion parameter models were trained with batches of approximately five hundred thousands label B P E tokens per batch.",https://xilaili.github.io/wavs/0000/audio_005.wav
"My son plays on a local football team as a Quarterback.",https://xilaili.github.io/wavs/0000/audio_006.wav
"Exactly! I think many people fail to notice how beautiful the art of video games can be.",https://xilaili.github.io/wavs/0000/audio_007.wav
"Sounds nice. Are they new or vintage?",https://xilaili.github.io/wavs/0000/audio_008.wav
"They are new, I got them because of my love for cats. I have to show off my beautiful green eyes somehow.",https://xilaili.github.io/wavs/0000/audio_009.wav
"Our pre-training data, though large, contains data consisting of group discussions, rather than direct two-way conversational data.",https://xilaili.github.io/wavs/0000/audio_010.wav
"What kind of music do you like? I like all kinds of music, but country is my favorite.",https://xilaili.github.io/wavs/0000/audio_011.wav
"I love spicy curry too! I also like to make my own curry from scratch.",https://xilaili.github.io/wavs/0000/audio_012.wav
"I like fish curries and the milder, sweeter sorts like panang. A little bite, but not too fiery. So, yeah, basically Thai curries.",https://xilaili.github.io/wavs/0000/audio_013.wav
"I love walking my dog too! What kind of dog do you have? I have a yellow lab.",https://xilaili.github.io/wavs/0000/audio_014.wav
"Mine is a German Shepherd. She's so pretty! Is yours a boy or girl dog?",https://xilaili.github.io/wavs/0000/audio_015.wav
"Wade had the most efficient shooting season of his career to that point, hitting sixty point three percent of his two-point shots and 40.6 percent from beyond the arc.",https://xilaili.github.io/wavs/0000/audio_016.wav
"The highest-rated non-championship season saw Chamberlain post twenty-five point six win shares, the second most in NBA history.",https://xilaili.github.io/wavs/0000/audio_017.wav
"This was Mikan's official rookie season, he had played in the N B L the previous two years -- and the final season of the Basketball Association of America, the precursor to the NBA.",https://xilaili.github.io/wavs/0000/audio_018.wav
"During his 1991 playoff run, Michael Jordan did a sit-down interview with then-NBC analyst Pat Riley, who asked him whether he would view his career as disappointing if he never won a title.",https://xilaili.github.io/wavs/0000/audio_019.wav
"A Trump administration projection and a public model both predict deaths rising as states reopen.",https://xilaili.github.io/wavs/0000/audio_020.wav
"As President Trump presses for states to reopen their economies, his administration is privately projecting a steady rise in the number of corona-virus cases and deaths over the next several weeks.",https://xilaili.github.io/wavs/0000/audio_021.wav
"As the administration privately predicted a sharp increase in deaths, a public model that has been frequently cited by the White House revised its own estimates and projected a death toll of more than double what it was predicting last month.",https://xilaili.github.io/wavs/0000/audio_022.wav
"On Sunday, Mr. Trump said deaths in the United States could reach 100,000, twice as many as he had forecast just two weeks ago.",https://xilaili.github.io/wavs/0000/audio_023.wav
"But that new number still underestimates what his own administration is now predicting to be the total death toll by the end of May, much less in the months to come.",https://xilaili.github.io/wavs/0000/audio_024.wav
