text, audio_url
"From the Presidential airplane, the Vice President telephoned Attorney General Robert F. Kennedy,", https://xilaili.github.io/wavs/0000/audio_000.wav
"The books and journals he was to keep were minutely specified, and his constant presence in or near the jail was insisted upon.", https://xilaili.github.io/wavs/0000/audio_001.wav
"the officers of Klein's discovered that a rifle bearing serial number C two seven six six had been shipped to one A. Hidell,", https://xilaili.github.io/wavs/0000/audio_002.wav
"After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,", https://xilaili.github.io/wavs/0000/audio_003.wav
"The window was approximately one hundred twenty feet away.", https://xilaili.github.io/wavs/0000/audio_004.wav
"After comparing the rifle in the simulated photograph with the rifle in Exhibit Number one thirty-three A, Shaneyfelt testified, quote,", https://xilaili.github.io/wavs/0000/audio_005.wav
"nineteen sixty-three, merely to disarm her and to provide a justification of sorts,", https://xilaili.github.io/wavs/0000/audio_006.wav
"he shot an old soldier who had attempted to detain him. He was convicted and executed.", https://xilaili.github.io/wavs/0000/audio_007.wav
"in his evidence in eighteen fourteen, said it was more,", https://xilaili.github.io/wavs/0000/audio_008.wav
"The former, which consisted principally of the tread-wheel, cranks, capstans, shot-drill,", https://xilaili.github.io/wavs/0000/audio_009.wav
"Two weeks pass, and at last you stand on the eastern edge of the plateau", https://xilaili.github.io/wavs/0000/audio_010.wav
"While he had drawn some attention to himself and had actually appeared on two radio programs, he had been attacked by Cuban exiles and arrested,", https://xilaili.github.io/wavs/0000/audio_011.wav
"In the Presidential Limousine", https://xilaili.github.io/wavs/0000/audio_012.wav
"He admitted to fantasies about being powerful and sometimes hurting and killing people, but refused to elaborate on them.", https://xilaili.github.io/wavs/0000/audio_013.wav
"Thus in the years between May first, eighteen twenty-seven, and thirtieth April, eighteen thirty-one,", https://xilaili.github.io/wavs/0000/audio_014.wav
"the Secret Service did not at the time of the assassination have any established procedure governing its relationships with them.", https://xilaili.github.io/wavs/0000/audio_015.wav
"Calcraft, the moment he had adjusted the cap and rope, ran down the steps, drew the bolt, and disappeared.", https://xilaili.github.io/wavs/0000/audio_016.wav
"Both systems came to us from the United States. The difference was really more in degree than in principle,", https://xilaili.github.io/wavs/0000/audio_017.wav
"which was generally more formally Gothic than the printing of the German workmen,", https://xilaili.github.io/wavs/0000/audio_018.wav
"that he was not yet twenty years old when he went to the Soviet Union with such high hopes and not quite twenty-three when he returned bitterly disappointed.", https://xilaili.github.io/wavs/0000/audio_019.wav
"Although Brennan testified that the man in the window was standing when he fired the shots, most probably he was either sitting or kneeling.", https://xilaili.github.io/wavs/0000/audio_020.wav
"perhaps the tales that travelers told him were exaggerated as travelers' tales are likely to be,", https://xilaili.github.io/wavs/0000/audio_021.wav
"While the rifle may have already been disassembled when Oswald arrived home on Thursday, he had ample time that evening to disassemble the rifle", https://xilaili.github.io/wavs/0000/audio_022.wav
"Examination of the cartridge cases found on the sixth floor of the Depository Building", https://xilaili.github.io/wavs/0000/audio_023.wav
"and in one corner, at some depth, a bundle of clothes were unearthed, which, with a hairy cap,", https://xilaili.github.io/wavs/0000/audio_024.wav
"democracy will have failed far beyond the importance to it of any king of precedent concerning the judiciary.", https://xilaili.github.io/wavs/0000/audio_025.wav
"It is clear that there are upward and downward currents of water containing food (comparable to blood of an animal),", https://xilaili.github.io/wavs/0000/audio_026.wav
"On each lobe of the bi-lobed leaf of Venus flytrap are three delicate filaments which stand out at right angles from the surface of the leaf.", https://xilaili.github.io/wavs/0000/audio_027.wav
"Jeanne De Mohrenschildt said, quote,", https://xilaili.github.io/wavs/0000/audio_028.wav
"Solomons, while waiting to appear in court, persuaded the turnkeys to take him to a public-house, where all might 'refresh.'", https://xilaili.github.io/wavs/0000/audio_029.wav
"that numbers of men, 'lifers,' and others with ten, fourteen, or twenty years to do, can be trusted to work out of doors without bolts and bars", https://xilaili.github.io/wavs/0000/audio_030.wav
"He began to treat me better. He helped me more -- although he always did help. But he was more attentive, end quote.", https://xilaili.github.io/wavs/0000/audio_031.wav
